,iter,h,x,y,z,l,"f(x, y, z, l)",diff,f`_x,f`_y,f`_z,f'_l,norm
0,1.0,0.1,-5.0,-3.0,-5.0,0.0,16.5,,-4.0,-2.0,-4.0,59.0,59.30430001273095
1,2.0,0.1,-0.8643420661113383,-0.5261212576329886,-0.8643420661113383,-1.1086126500123687,-0.006807048784796654,-16.506807048784797,2.0520990307463753,1.6404081056717068,2.0520990307463753,1.770977992232552,3.7748539926871216
2,3.0,0.1,-0.8814265792924265,-0.5687682398397563,-0.8814265792924265,-1.0595645614983966,-0.20341110165075094,-0.19660405286595428,1.9864301546695966,1.6365251014402964,1.9864301546695966,1.877322940016711,3.7542463088506213
3,4.0,0.1,-0.8892860645037527,-0.6030459235907564,-0.8892860645037527,-1.0269742961727064,-0.32583080177858803,-0.1224197001278371,1.9372617958761222,1.635579402288117,1.9372617958761222,1.9453237950005735,3.737027051026918
4,5.0,0.1,-0.8916786171792579,-0.6311694784101091,-0.8916786171792579,-1.0057055119934877,-0.40303412088310586,-0.07720331910451783,1.9018535832685635,1.6383717684680934,1.9018535832685635,1.9885564231459163,3.7246090807131824
5,6.0,0.1,-0.8909072190019268,-0.6546822746284907,-0.8909072190019268,-0.9919474651148474,-0.4524401962605389,-0.04940607537743302,1.8765590960810323,1.6441385709182168,1.8765590960810323,2.016040226452229,3.7162559003953795
6,7.0,0.1,-0.8883679382130044,-0.6746556807225299,-0.8883679382130044,-0.9830791042328028,-0.4845224016342883,-0.032082205373749395,1.8583039756421602,1.651824123818023,1.8583039756421602,2.033555474820829,3.7108567928412253
7,8.0,0.1,-0.8849050351114415,-0.6918433333158167,-0.8849050351114415,-0.9773632691150698,-0.5056574108951909,-0.021135009260902615,1.8448423208343665,1.6605211906142103,1.8448423208343665,2.044761040184703,3.7074606826531724
8,9.0,0.1,-0.8810274792422916,-0.7067860984279039,-0.8810274792422916,-0.9736706695330858,-0.5197848861168983,-0.01412747522170743,1.8346337519394862,1.6695676889180455,1.8346337519394862,2.051965427290992,3.7053718288705872
9,10.0,0.1,-0.8770394614197503,-0.7198812188755398,-0.8770394614197503,-0.9712747278372766,-0.5293715352957208,-0.00958664917882246,1.826653066966289,1.6785236510014738,1.826653066966289,2.0566254030646243,3.704115623143633
10,11.0,0.1,-0.8731194359560591,-0.7314277234949461,-0.8731194359560591,-0.9697104652495747,-0.535979814432253,-0.006608279136532169,1.8202266729627334,1.6871185125984969,1.8202266729627334,2.059661613585453,3.703380228920595
11,12.0,0.1,-0.8693684091618152,-0.7416564154875976,-0.8693684091618152,-0.9686810102758272,-0.5406097356092133,-0.004629921176960372,1.8149129286156964,1.6952005561765517,1.8149129286156964,2.061657100331003,3.7029654065247946
12,13.0,0.1,-0.8658396852369102,-0.7507498359847606,-0.8658396852369102,-0.9679968815582782,-0.543907721947824,-0.00329798633861067,1.8104205452405504,1.7026971641425137,1.8104205452405504,2.0629820372934486,3.702744606401118
13,14.0,0.1,-0.8625573113229442,-0.7588556745430922,-0.8625573113229442,-0.9675369939079408,-0.5462959034957033,-0.0023881815478793422,1.8065549048184903,1.70958620177172,1.8065549048184903,2.0638721654195846,3.702638862315561
