,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,0.5,1.0,1.0,1.0,6.5,,2.5,3.0,4.5,5.958187643906492
1,0.5,-0.25,-0.5,-1.25,0.5,-6.0,0.125,-0.75,-2.125,2.2569337606584736
2,0.5,-0.3125,-0.125,-0.1875,-0.48046875,-0.98046875,0.59375,0.6875,0.34375,0.9712668917450034
3,0.5,-0.609375,-0.46875,-0.359375,-0.73486328125,-0.25439453125,0.2109375,0.171875,-0.4921875,0.5623914825879744
4,0.5,-0.71484375,-0.5546875,-0.11328125,-0.8573150634765625,-0.1224517822265625,0.228515625,0.33203125,-0.138671875,0.4262558278331438
5,0.5,-0.8291015625,-0.720703125,-0.0439453125,-0.9385185241699219,-0.08120346069335938,0.14892578125,0.2353515625,-0.22314453125,0.35687915058027203
6,0.5,-0.903564453125,-0.83837890625,0.067626953125,-0.9973387122154236,-0.05882018804550171,0.1302490234375,0.229248046875,-0.1549072265625,0.30580340734483374
7,0.5,-0.96868896484375,-0.9530029296875,0.14508056640625,-1.0408076867461205,-0.04346897453069687,0.103851318359375,0.19207763671875,-0.147186279296875,0.26333005082158406
8,0.5,-1.0206146240234375,-1.049041748046875,0.2186737060546875,-1.0730817143339664,-0.03227402758784592,0.08872222900390625,0.1696319580078125,-0.12200164794921875,0.22700448717880217
9,0.5,-1.0649757385253906,-1.1338577270507812,0.2796745300292969,-1.0970721798948944,-0.023990465560927987,0.07486152648925781,0.14581680297851562,-0.10699653625488281,0.19574229729345557
10,0.5,-1.1024065017700195,-1.206766128540039,0.3331727981567383,-1.1149110038704748,-0.017838823975580453,0.06417989730834961,0.12640666961669922,-0.09162378311157227,0.16879757988126515
11,0.5,-1.1344964504241943,-1.2699694633483887,0.3789846897125244,-1.1281768877257718,-0.013265883855297034,0.05499589443206787,0.10901522636413574,-0.07924830913543701,0.14556497684687997
12,0.5,-1.1619943976402283,-1.3244770765304565,0.4186088442802429,-1.138042396390066,-0.009865508664294254,0.04731002449989319,0.09413176774978638,-0.06825658679008484,0.1255308319024159
13,0.5,-1.1856494098901749,-1.3715429604053497,0.45273713767528534,-1.1453792032372734,-0.007336806847207278,0.040719158947467804,0.08119417726993561,-0.058893389999866486,0.10825421799453012
14,0.5,-1.2060089893639088,-1.4121400490403175,0.4821838326752186,-1.1508354764571305,-0.0054562732198570885,0.03508292697370052,0.07004378363490105,-0.050776878371834755,0.09335542173930197
15,0.5,-1.223550452850759,-1.447161940857768,0.507572271861136,-1.1548932294330951,-0.004057752975964668,0.03023568307980895,0.0604103310033679,-0.043792623560875654,0.08050713323416553
16,0.5,-1.2386682943906635,-1.477367106359452,0.5294685836415738,-1.1579109238435032,-0.0030176944104081116,0.02606599743012339,0.05210147728212178,-0.03776408627163619,0.06942712992006966
17,0.5,-1.2517012931057252,-1.503417845000513,0.5483506267773919,-1.1601551414480675,-0.0022442176045642803,0.02247402028297074,0.04493278177687898,-0.032567237998591736,0.059872042363234325
18,0.5,-1.2629383032472106,-1.5258842358889524,0.5646342457766877,-1.1618241351159242,-0.0016689936678566664,0.019378819641133305,0.03875000988773536,-0.028084895959182177,0.051631998780032225
19,0.5,-1.2726277130677772,-1.54525924083282,0.5786766937562788,-1.1630653426957598,-0.0012412075798355904,0.016710633810362197,0.03341745292345877,-0.024219709854151006,0.04452601248320876
20,0.5,-1.2809830299729583,-1.5619679672945495,0.5907865486833543,-1.1639884116642167,-0.0009230689684569526,0.01441024436871885,0.028818581388804887,-0.020886384914319933,0.03839800581825176
21,0.5,-1.2881881521573177,-1.576377257988952,0.6012297411405143,-1.164674885333642,-0.0006864736694252027,0.012426718412939408,0.02485248315156241,-0.018011851786582156,0.033113381797922475
22,0.5,-1.2944015113637874,-1.588803499564733,0.6102356670338054,-1.1651854063403742,-0.0005105210067322119,0.010716322153115243,0.021432167469072283,-0.015532921179016057,0.028556067713626718
23,0.5,-1.299759672440345,-1.5995195832992692,0.6180021276233134,-1.1655650737769694,-0.0003796674365952324,0.009241391371311636,0.01848254432404417,-0.013395164272814952,0.024625965667638472
