,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,1.0,1.0,1.0,1.0,6.5,,2.5,3.0,4.5,5.958187643906492
1,1.0,-1.5,-2.0,-3.5,18.0,11.5,-2.25,-4.5,-8.75,10.093314619093174
2,0.5,-0.375,0.25,0.875,1.671875,-16.328125,1.0625,2.125,2.8125,3.681669118755785
3,0.5,-0.90625,-0.8125,-0.53125,-0.5546875,-2.2265625,-0.171875,-0.34375,-1.328125,1.3826138628518088
4,0.5,-0.8203125,-0.640625,0.1328125,-0.90838623046875,-0.35369873046875,0.24609375,0.4921875,0.21484375,0.5907355633948027
5,0.5,-0.943359375,-0.88671875,0.025390625,-1.0004348754882812,-0.09204864501953125,0.0693359375,0.138671875,-0.3076171875,0.34447887481009587
6,0.5,-0.97802734375,-0.9560546875,0.17919921875,-1.0464365482330322,-0.04600167274475098,0.111572265625,0.22314453125,-0.086669921875,0.26410893139251534
7,0.5,-1.0338134765625,-1.067626953125,0.2225341796875,-1.0776988863945007,-0.031262338161468506,0.07745361328125,0.1549072265625,-0.13946533203125,0.22236431793386713
8,0.5,-1.072540283203125,-1.14508056640625,0.292266845703125,-1.100561081431806,-0.022862195037305355,0.0735931396484375,0.147186279296875,-0.0968170166015625,0.19092743574510015
9,0.5,-1.1093368530273438,-1.2186737060546875,0.34067535400390625,-1.1175125393783674,-0.016951457946561277,0.061000823974609375,0.12200164794921875,-0.09199142456054688,0.1645233260683274
10,0.5,-1.1398372650146484,-1.2796745300292969,0.3866710662841797,-1.1301124288474966,-0.012599889469129266,0.053498268127441406,0.10699653625488281,-0.07625102996826172,0.14186099898985208
11,0.5,-1.1665863990783691,-1.3331727981567383,0.42479658126831055,-1.1394819163178909,-0.009369487470394233,0.04581189155578613,0.09162378311157227,-0.06687283515930176,0.12233406362023085
12,0.5,-1.1894923448562622,-1.3789846897125244,0.4582329988479614,-1.1464497598985162,-0.006967843580625299,0.039624154567718506,0.07924830913543701,-0.057264864444732666,0.10549707496374411
13,0.5,-1.2093044221401215,-1.418608844280243,0.48686543107032776,-1.1516316340207826,-0.00518187412226645,0.03412829339504242,0.06825658679008484,-0.04953019320964813,0.09097770105732259
14,0.5,-1.2263685688376427,-1.4527371376752853,0.5116305276751518,-1.1554853204030953,-0.003853686382312649,0.029446694999933243,0.058893389999866486,-0.042660366743803024,0.0784566512337306
15,0.5,-1.2410919163376093,-1.4821838326752186,0.5329607110470533,-1.1583512535928664,-0.0028659331897711304,0.025388439185917377,0.050776878371834755,-0.036808368749916553,0.06765885183414627
16,0.5,-1.253786135930568,-1.507572271861136,0.5513648954220116,-1.160482608573143,-0.002131354980276612,0.021896311780437827,0.043792623560875654,-0.03173554898239672,0.058347128610967684
17,0.5,-1.264734291820787,-1.5294685836415738,0.56723266991321,-1.1620676678928221,-0.0015850593196791163,0.018882043135818094,0.03776408627163619,-0.027370389725547284,0.05031695537930351
18,0.5,-1.274175313388696,-1.5483506267773919,0.5809178647759836,-1.1632464546627483,-0.0011787867699262211,0.016283618999295868,0.032567237998591736,-0.023602553919772618,0.04339195536164417
19,0.5,-1.2823171228883439,-1.5646342457766877,0.5927191417358699,-1.1641231021372465,-0.0008766474744981156,0.014042447979591088,0.028084895959182177,-0.020354523749119835,0.0374200262339712
20,0.5,-1.2893383468781394,-1.5786766937562788,0.6028964036104298,-1.1647750527819314,-0.0006519506446849288,0.012109854927075503,0.024219709854151006,-0.01755305997448886,0.03226999916706037
21,0.5,-1.2953932743416772,-1.5907865486833543,0.6116729335976743,-1.1652598994910996,-0.0004848467091682629,0.010443192457159967,0.020886384914319933,-0.015137318658844379,0.02782875778157933
22,0.5,-1.3006148705702572,-1.6012297411405143,0.6192415929270965,-1.1656204733064768,-0.00036057381537712985,0.009005925893291078,0.018011851786582156,-0.013053990571449958,0.023998753630485852
23,0.5,-1.3051178335169027,-1.6102356670338054,0.6257685882128214,-1.1658886270834894,-0.0002681537770126141,0.0077664605895080285,0.015532921179016057,-0.011257407366613847,0.020695863621984917
24,0.5,-1.3090010638116567,-1.6180021276233134,0.6313972918961284,-1.1660880493517176,-0.00019942226822822207,0.006697582136407476,0.013395164272814952,-0.009708075736885036,0.017847542320519053
25,0.5,-1.3123498548798604,-1.624699709759721,0.6362513297645709,-1.166236356944131,-0.00014830759241335478,0.005775810002424997,0.011551620004849994,-0.008371977670509345,0.015391228542129777
26,0.5,-1.315237759881073,-1.6304755197621459,0.6404373185998256,-1.166346651256611,-0.0001102943124799971,0.004980899418839835,0.00996179883767967,-0.007219762503031246,0.013272971246227087
27,0.5,-1.3177282095904927,-1.6354564191809857,0.6440471998513412,-1.1664286756167093,-8.202436009829839e-05,0.0042953903351778955,0.008590780670355458,-0.006226124273549738,0.01144624454252913
28,0.5,-1.3198759047580817,-1.6397518095161634,0.647160261988116,-1.166489676002842,-6.1000386132770146e-05,0.0037042262359763267,0.0074084524719526534,-0.005369237918972036,0.009870925785710472
