,iter,h,x,y,z,"f(x, y, z)",diff,f`_x,f`_y,f`_z,norm
0,1.0,0.5,3.0,-3.0,-1.0,10.5,,3.5,-3.0,-2.5,5.244044240850758
1,2.0,0.5,1.25,-1.5,0.25,1.75,-8.75,2.375,-0.25,0.625,2.468552207266437
2,3.0,0.5,0.0625,-1.375,-0.0625,-0.33984375,-2.08984375,1.03125,-0.4375,-0.46875,1.2143349517328406
3,4.0,0.5,-0.453125,-1.15625,0.171875,-0.87451171875,-0.53466796875,0.6328125,0.015625,-0.0390625,0.6342094919563251
4,5.0,0.5,-0.76953125,-1.1640625,0.19140625,-1.0283966064453125,-0.1538848876953125,0.326171875,0.02734375,-0.166015625,0.36701084513842197
5,6.0,0.5,-0.9326171875,-1.177734375,0.2744140625,-1.0833663940429688,-0.05496978759765625,0.20458984375,0.0966796875,-0.09521484375,0.24549914991926955
6,7.0,0.5,-1.034912109375,-1.22607421875,0.322021484375,-1.1095706820487976,-0.026204288005828857,0.1260986328125,0.095947265625,-0.0994873046875,0.18709480690836788
7,8.0,0.5,-1.09796142578125,-1.2740478515625,0.37176513671875,-1.125414676964283,-0.015843994915485382,0.087921142578125,0.09771728515625,-0.079498291015625,0.1536189226786722
8,9.0,0.5,-1.1419219970703125,-1.322906494140625,0.4115142822265625,-1.1362900065723807,-0.010875329608097672,0.06383514404296875,0.0886077880859375,-0.07083892822265625,0.13017073202607266
9,10.0,0.5,-1.1738395690917969,-1.3672103881835938,0.4469337463378906,-1.144151366490405,-0.007861359918024391,0.04962730407714844,0.07972335815429688,-0.06026268005371094,0.11158079473018634
10,11.0,0.5,-1.198653221130371,-1.4070720672607422,0.4770650863647461,-1.1499411904214867,-0.005789823931081628,0.03987932205200195,0.0699930191040039,-0.05226850509643555,0.09602801505621604
11,12.0,0.5,-1.218592882156372,-1.4420685768127441,0.5031993389129639,-1.1542328699091513,-0.004291679487664624,0.03300678730010986,0.06113076210021973,-0.04496634006500244,0.08275499877149294
